1945,NASA Goddard Institute for Space Studies,0.09
1946,NASA Goddard Institute for Space Studies,-0.07
1947,NASA Goddard Institute for Space Studies,-0.02
1948,NASA Goddard Institute for Space Studies,-0.10
1949,NASA Goddard Institute for Space Studies,-0.11
1950,NASA Goddard Institute for Space Studies,-0.17
1951,NASA Goddard Institute for Space Studies,-0.07
1952,NASA Goddard Institute for Space Studies,0.01
1953,NASA Goddard Institute for Space Studies,0.08
1954,NASA Goddard Institute for Space Studies,-0.13
1955,NASA Goddard Institute for Space Studies,-0.14
1956,NASA Goddard Institute for Space Studies,-0.19
1957,NASA Goddard Institute for Space Studies,0.05
1958,NASA Goddard Institute for Space Studies,0.06
1959,NASA Goddard Institute for Space Studies,0.03
1960,NASA Goddard Institute for Space Studies,-0.03
1961,NASA Goddard Institute for Space Studies,0.06
1962,NASA Goddard Institute for Space Studies,0.03
1963,NASA Goddard Institute for Space Studies,0.05
1964,NASA Goddard Institute for Space Studies,-0.20
1965,NASA Goddard Institute for Space Studies,-0.11
1966,NASA Goddard Institute for Space Studies,-0.06
1967,NASA Goddard Institute for Space Studies,-0.02
1968,NASA Goddard Institute for Space Studies,-0.08
1969,NASA Goddard Institute for Space Studies,0.05
1970,NASA Goddard Institute for Space Studies,0.03
1971,NASA Goddard Institute for Space Studies,-0.08
1972,NASA Goddard Institute for Space Studies,0.01
1973,NASA Goddard Institute for Space Studies,0.16
1974,NASA Goddard Institute for Space Studies,-0.07
1975,NASA Goddard Institute for Space Studies,-0.01
1976,NASA Goddard Institute for Space Studies,-0.10
1977,NASA Goddard Institute for Space Studies,0.18
1978,NASA Goddard Institute for Space Studies,0.07
1979,NASA Goddard Institute for Space Studies,0.17
1980,NASA Goddard Institute for Space Studies,0.26
1981,NASA Goddard Institute for Space Studies,0.32
1982,NASA Goddard Institute for Space Studies,0.14
1983,NASA Goddard Institute for Space Studies,0.31
1984,NASA Goddard Institute for Space Studies,0.16
1985,NASA Goddard Institute for Space Studies,0.12
1986,NASA Goddard Institute for Space Studies,0.18
1987,NASA Goddard Institute for Space Studies,0.32
1988,NASA Goddard Institute for Space Studies,0.39
1989,NASA Goddard Institute for Space Studies,0.27
1990,NASA Goddard Institute for Space Studies,0.45
1991,NASA Goddard Institute for Space Studies,0.40
1992,NASA Goddard Institute for Space Studies,0.22
1993,NASA Goddard Institute for Space Studies,0.23
1994,NASA Goddard Institute for Space Studies,0.31
1995,NASA Goddard Institute for Space Studies,0.45
1996,NASA Goddard Institute for Space Studies,0.33
1997,NASA Goddard Institute for Space Studies,0.46
1998,NASA Goddard Institute for Space Studies,0.61
1999,NASA Goddard Institute for Space Studies,0.38
2000,NASA Goddard Institute for Space Studies,0.39
2001,NASA Goddard Institute for Space Studies,0.54
2002,NASA Goddard Institute for Space Studies,0.63
2003,NASA Goddard Institute for Space Studies,0.62
2004,NASA Goddard Institute for Space Studies,0.53
2005,NASA Goddard Institute for Space Studies,0.68
2006,NASA Goddard Institute for Space Studies,0.64
2007,NASA Goddard Institute for Space Studies,0.66
2008,NASA Goddard Institute for Space Studies,0.54
2009,NASA Goddard Institute for Space Studies,0.66
2010,NASA Goddard Institute for Space Studies,0.72
2011,NASA Goddard Institute for Space Studies,0.61
2012,NASA Goddard Institute for Space Studies,0.65
2013,NASA Goddard Institute for Space Studies,0.68
2014,NASA Goddard Institute for Space Studies,0.75
2015,NASA Goddard Institute for Space Studies,0.90
2016,NASA Goddard Institute for Space Studies,1.02
2017,NASA Goddard Institute for Space Studies,0.92
2018,NASA Goddard Institute for Space Studies,0.85
2019,NASA Goddard Institute for Space Studies,0.98
2020,NASA Goddard Institute for Space Studies,1.02
2021,NASA Goddard Institute for Space Studies,0.85
2022,NASA Goddard Institute for Space Studies,0.90
1880,Japanese Meteorological Agency,
1881,Japanese Meteorological Agency,
1882,Japanese Meteorological Agency,
1883,Japanese Meteorological Agency,
1884,Japanese Meteorological Agency,
1885,Japanese Meteorological Agency,
1886,Japanese Meteorological Agency,
1887,Japanese Meteorological Agency,
1888,Japanese Meteorological Agency,
1889,Japanese Meteorological Agency,
1890,Japanese Meteorological Agency,
1891,Japanese Meteorological Agency,-0.26
1892,Japanese Meteorological Agency,-0.37
1893,Japanese Meteorological Agency,-0.42
1894,Japanese Meteorological Agency,-0.34
1895,Japanese Meteorological Agency,-0.30
1896,Japanese Meteorological Agency,-0.09
1897,Japanese Meteorological Agency,-0.10
1898,Japanese Meteorological Agency,-0.27
1899,Japanese Meteorological Agency,-0.18
1900,Japanese Meteorological Agency,-0.10
1901,Japanese Meteorological Agency,-0.18
1902,Japanese Meteorological Agency,-0.31
1903,Japanese Meteorological Agency,-0.37
1904,Japanese Meteorological Agency,-0.42
1905,Japanese Meteorological Agency,-0.30
1906,Japanese Meteorological Agency,-0.22
1907,Japanese Meteorological Agency,-0.39
1908,Japanese Meteorological Agency,-0.42
1909,Japanese Meteorological Agency,-0.42
1910,Japanese Meteorological Agency,-0.40
1911,Japanese Meteorological Agency,-0.41
1912,Japanese Meteorological Agency,-0.34
1913,Japanese Meteorological Agency,-0.31
1914,Japanese Meteorological Agency,-0.14
1915,Japanese Meteorological Agency,-0.09
1916,Japanese Meteorological Agency,-0.33
1917,Japanese Meteorological Agency,-0.39
1918,Japanese Meteorological Agency,-0.26
1919,Japanese Meteorological Agency,-0.21
1920,Japanese Meteorological Agency,-0.17
1921,Japanese Meteorological Agency,-0.10
1922,Japanese Meteorological Agency,-0.19
1923,Japanese Meteorological Agency,-0.18
1924,Japanese Meteorological Agency,-0.19
1925,Japanese Meteorological Agency,-0.11
1926,Japanese Meteorological Agency,0.01
1927,Japanese Meteorological Agency,-0.10
1928,Japanese Meteorological Agency,-0.13
1929,Japanese Meteorological Agency,-0.23
1930,Japanese Meteorological Agency,-0.04
1931,Japanese Meteorological Agency,0.03
1932,Japanese Meteorological Agency,-0.04
1933,Japanese Meteorological Agency,-0.14
1934,Japanese Meteorological Agency,-0.03
1935,Japanese Meteorological Agency,-0.07
1936,Japanese Meteorological Agency,-0.01
1937,Japanese Meteorological Agency,0.08
1938,Japanese Meteorological Agency,0.08
1939,Japanese Meteorological Agency,0.00
1940,Japanese Meteorological Agency,-0.03
1941,Japanese Meteorological Agency,0.07
1942,Japanese Meteorological Agency,0.04
1943,Japanese Meteorological Agency,0.03
1944,Japanese Meteorological Agency,0.16
1945,Japanese Meteorological Agency,0.03
1946,Japanese Meteorological Agency,-0.06
1947,Japanese Meteorological Agency,-0.06
1948,Japanese Meteorological Agency,0.01
1949,Japanese Meteorological Agency,0.01
1950,Japanese Meteorological Agency,-0.11
1951,Japanese Meteorological Agency,0.02
1952,Japanese Meteorological Agency,0.04
1953,Japanese Meteorological Agency,0.11
1954,Japanese Meteorological Agency,-0.12
1955,Japanese Meteorological Agency,-0.15
1956,Japanese Meteorological Agency,-0.24
1957,Japanese Meteorological Agency,0.03
1958,Japanese Meteorological Agency,0.08
1959,Japanese Meteorological Agency,0.02
1960,Japanese Meteorological Agency,-0.05
1961,Japanese Meteorological Agency,0.03
1962,Japanese Meteorological Agency,0.03
1963,Japanese Meteorological Agency,0.07
1964,Japanese Meteorological Agency,-0.18
1965,Japanese Meteorological Agency,-0.11
1966,Japanese Meteorological Agency,-0.03
1967,Japanese Meteorological Agency,-0.03
1968,Japanese Meteorological Agency,-0.08
1969,Japanese Meteorological Agency,0.04
1970,Japanese Meteorological Agency,-0.01
1971,Japanese Meteorological Agency,-0.14
1972,Japanese Meteorological Agency,-0.02
1973,Japanese Meteorological Agency,0.11
1974,Japanese Meteorological Agency,-0.16
